Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19810104 12:45,-9999,2.76,-9999,1.55
19810104 13:00,-9999,2.76,-9999,1.55
19810104 13:15,-9999,2.76,-9999,1.55
19810104 13:30,-9999,2.76,-9999,1.55
19810104 13:45,-9999,2.76,-9999,1.55
19810104 14:00,-9999,2.76,-9999,1.55
19810104 14:15,-9999,2.76,-9999,1.55
19810104 14:30,-9999,2.76,-9999,1.55
19810104 14:45,-9999,2.76,-9999,1.55
19810104 15:00,2.75,-9999,1.49,-9999
19810104 15:15,-9999,2.75,-9999,1.49
19810104 15:30,-9999,2.75,-9999,1.49
19810104 15:45,-9999,2.75,-9999,1.49
19810104 16:00,-9999,2.75,-9999,1.49
19810104 16:15,-9999,2.75,-9999,1.49
19810104 16:30,-9999,2.75,-9999,1.49
19810104 16:45,-9999,2.75,-9999,1.49
19810104 17:00,-9999,2.75,-9999,1.49
19810104 17:15,-9999,2.75,-9999,1.49
19810104 17:30,-9999,2.75,-9999,1.49
19810104 17:45,-9999,2.75,-9999,1.49
19810104 18:00,-9999,2.75,-9999,1.49
19810104 18:15,-9999,2.75,-9999,1.49
19810104 18:30,-9999,2.75,-9999,1.49
19810104 18:45,-9999,2.75,-9999,1.49
19810104 19:00,-9999,2.75,-9999,1.49
19810104 19:15,-9999,2.75,-9999,1.49
19810104 19:30,-9999,2.75,-9999,1.49
19810104 19:45,-9999,2.75,-9999,1.49
19810104 20:00,2.74,-9999,1.43,-9999
19810104 20:15,-9999,2.74,-9999,1.43
19810104 20:30,-9999,2.74,-9999,1.43
19810104 20:45,-9999,2.74,-9999,1.43
19810104 21:00,-9999,2.74,-9999,1.43
19810104 21:15,-9999,2.74,-9999,1.43
19810104 21:30,-9999,2.74,-9999,1.43
19810104 21:45,-9999,2.74,-9999,1.43
19810104 22:00,-9999,2.74,-9999,1.43
19810104 22:15,-9999,2.74,-9999,1.43
19810104 22:30,-9999,2.74,-9999,1.43
19810104 22:45,-9999,2.74,-9999,1.43
19810104 23:00,-9999,2.74,-9999,1.43
19810104 23:15,-9999,2.74,-9999,1.43
19810104 23:30,-9999,2.74,-9999,1.43
19810104 23:45,-9999,2.74,-9999,1.43
19810105  0:00,-9999,2.74,-9999,1.43
19810105  0:15,-9999,2.74,-9999,1.43
19810105  0:30,-9999,2.74,-9999,1.43
19810105  0:45,-9999,2.74,-9999,1.43
19810105  1:00,-9999,2.74,-9999,1.43
19810105  1:15,-9999,2.74,-9999,1.43
19810105  1:30,-9999,2.74,-9999,1.43
19810105  1:45,-9999,2.74,-9999,1.43
19810105  2:00,-9999,2.74,-9999,1.43
19810105  2:15,-9999,2.74,-9999,1.43
19810105  2:30,-9999,2.74,-9999,1.43
19810105  2:45,-9999,2.74,-9999,1.43
19810105  3:00,-9999,2.74,-9999,1.43
19810105  3:15,-9999,2.74,-9999,1.43
19810105  3:30,-9999,2.74,-9999,1.43
19810105  3:45,-9999,2.74,-9999,1.43
19810105  4:00,-9999,2.74,-9999,1.43
19810105  4:15,-9999,2.74,-9999,1.43
19810105  4:30,-9999,2.74,-9999,1.43
19810105  4:45,-9999,2.74,-9999,1.43
19810105  5:00,-9999,2.74,-9999,1.43
19810105  5:15,-9999,2.74,-9999,1.43
19810105  5:30,-9999,2.74,-9999,1.43
19810105  5:45,-9999,2.74,-9999,1.43
19810105  6:00,-9999,2.74,-9999,1.43
19810105  6:15,-9999,2.74,-9999,1.43
19810105  6:30,-9999,2.74,-9999,1.43
19810105  6:45,-9999,2.74,-9999,1.43
19810105  7:00,-9999,2.74,-9999,1.43
19810105  7:15,-9999,2.74,-9999,1.43
19810105  7:30,-9999,2.74,-9999,1.43
19810105  7:45,-9999,2.74,-9999,1.43
19810105  8:00,-9999,2.74,-9999,1.43
19810105  8:15,-9999,2.74,-9999,1.43
19810105  8:30,-9999,2.74,-9999,1.43
19810105  8:45,-9999,2.74,-9999,1.43
19810105  9:00,-9999,2.74,-9999,1.43
19810105  9:15,-9999,2.74,-9999,1.43
19810105  9:30,-9999,2.74,-9999,1.43
19810105  9:45,-9999,2.74,-9999,1.43
19810105 10:00,-9999,2.74,-9999,1.43
19810105 10:15,-9999,2.74,-9999,1.43
19810105 10:30,-9999,2.74,-9999,1.43
19810105 10:45,-9999,2.74,-9999,1.43
19810105 11:00,-9999,2.74,-9999,1.43
19810105 11:15,-9999,2.74,-9999,1.43
19810105 11:30,-9999,2.74,-9999,1.43
19810105 11:45,-9999,2.74,-9999,1.43
19810105 12:00,-9999,2.74,-9999,1.43
19810105 12:15,-9999,2.74,-9999,1.43
19810105 12:30,-9999,2.74,-9999,1.43
19810105 12:45,-9999,2.74,-9999,1.43
19810105 13:00,-9999,2.74,-9999,1.43
19810105 13:15,-9999,2.74,-9999,1.43
19810105 13:30,-9999,2.74,-9999,1.43
19810105 13:45,-9999,2.74,-9999,1.43
19810105 14:00,2.75,-9999,1.49,-9999
19810105 14:15,-9999,2.75,-9999,1.49
19810105 14:30,-9999,2.75,-9999,1.49
19810105 14:45,-9999,2.75,-9999,1.49
19810105 15:00,-9999,2.75,-9999,1.49
19810105 15:15,-9999,2.75,-9999,1.49
19810105 15:30,-9999,2.75,-9999,1.49
19810105 15:45,-9999,2.75,-9999,1.49
19810105 16:00,-9999,2.75,-9999,1.49
19810105 16:15,-9999,2.75,-9999,1.49
19810105 16:30,-9999,2.75,-9999,1.49
19810105 16:45,-9999,2.75,-9999,1.49
19810105 17:00,-9999,2.75,-9999,1.49
19810105 17:15,-9999,2.75,-9999,1.49
19810105 17:30,-9999,2.75,-9999,1.49
19810105 17:45,-9999,2.75,-9999,1.49
19810105 18:00,-9999,2.75,-9999,1.49
19810105 18:15,-9999,2.75,-9999,1.49
19810105 18:30,-9999,2.75,-9999,1.49
19810105 18:45,-9999,2.75,-9999,1.49
19810105 19:00,-9999,2.75,-9999,1.49
19810105 19:15,-9999,2.75,-9999,1.49
19810105 19:30,-9999,2.75,-9999,1.49
19810105 19:45,-9999,2.75,-9999,1.49
19810105 20:00,-9999,2.75,-9999,1.49
19810105 20:15,-9999,2.75,-9999,1.49
19810105 20:30,-9999,2.75,-9999,1.49
19810105 20:45,-9999,2.75,-9999,1.49
19810105 21:00,-9999,2.75,-9999,1.49
19810105 21:15,-9999,2.75,-9999,1.49
19810105 21:30,-9999,2.75,-9999,1.49
19810105 21:45,-9999,2.75,-9999,1.49
19810105 22:00,-9999,2.75,-9999,1.49
19810105 22:15,-9999,2.75,-9999,1.49
19810105 22:30,-9999,2.75,-9999,1.49
19810105 22:45,-9999,2.75,-9999,1.49
19810105 23:00,-9999,2.75,-9999,1.49
19810105 23:15,-9999,2.75,-9999,1.49
19810105 23:30,-9999,2.75,-9999,1.49
19810105 23:45,-9999,2.75,-9999,1.49
